power (W),welding speed (m/min),gas flow rate (l/min),focal position (mm),angular position (°),material thickness (mm),weld number,cross section positon in the weld (mm),cracking in the weld metal,weld seam width steel (µm),weld seam width copper (µm),weld depth copper (µm),gap
1050,1,15,0,0,0.6,1,8,no,2097,286,110,58
1050,1,15,0,0,0.6,1,16,no,2069,384,149,85
1050,1,15,0,0,0.6,1,24,no,2043,385,177,91
1050,1,15,0,0,0.6,1,32,no,2010,414,164,58
1050,1,15,0,0,0.6,2,8,no,2232,320,149,102
1050,1,15,0,0,0.6,2,16,no,1981,326,103,60
1050,1,15,0,0,0.6,2,24,no,1870,369,148,54
1050,1,15,0,0,0.6,2,32,no,2023,401,167,56
1050,1,15,0,0,0.6,3,8,no,2217,358,151,114
1050,1,15,0,0,0.6,3,16,no,2095,369,139,83
1050,1,15,0,0,0.6,3,24,no,2095,382,129,73
1050,1,15,0,0,0.6,3,32,no,2097,394,172,83
1050,1,15,0,0,0.6,4,8,no,2211,332,144,104
1050,1,15,0,0,0.6,4,16,no,2093,393,148,79
1050,1,15,0,0,0.6,4,24,no,2133,366,140,77
1050,1,15,0,0,0.6,4,32,no,2021,396,186,85
1050,1,15,0,0,0.6,5,8,no,2149,359,144,73
1050,1,15,0,0,0.6,5,16,no,2048,341,119,64
1050,1,15,0,0,0.6,5,24,no,2000,404,160,50
1050,1,15,0,0,0.6,5,32,no,1950,398,153,37
1050,1.2,20,2,15,0.7,1,8,no,2066,0,0,182
1050,1.2,20,2,15,0.7,1,16,no,1956,254,105,62
1050,1.2,20,2,15,0.7,1,24,no,1967,270,112,77
1050,1.2,20,2,15,0.7,1,32,no,1991,256,98,71
1050,1.2,20,2,15,0.7,2,8,no,2087,0,0,164
1050,1.2,20,2,15,0.7,2,16,no,2000,258,95,81
1050,1.2,20,2,15,0.7,2,24,no,2009,234,90,89
1050,1.2,20,2,15,0.7,2,32,no,1966,87,12,91
1050,1.2,20,2,15,0.7,3,8,no,2180,0,0,131
1050,1.2,20,2,15,0.7,3,16,no,2025,124,11,66
1050,1.2,20,2,15,0.7,3,24,no,1961,181,37,58
1050,1.2,20,2,15,0.7,3,32,no,1955,239,37,60
1050,1.2,20,2,15,0.7,4,8,no,2213,0,0,116
1050,1.2,20,2,15,0.7,4,16,no,1869,116,11,56
1050,1.2,20,2,15,0.7,4,24,no,1872,229,66,54
1050,1.2,20,2,15,0.7,4,32,no,1825,261,118,54
1050,1.2,20,2,15,0.7,5,8,no,2108,0,0,83
1050,1.2,20,2,15,0.7,5,16,no,1828,233,112,31
1050,1.2,20,2,15,0.7,5,24,no,1809,251,119,21
1050,1.2,20,2,15,0.7,5,32,no,1861,271,127,27
1200,1.2,10,-2,0,0.7,1,8,yes,1886,452,247,39
1200,1.2,10,-2,0,0.7,1,16,yes,1872,516,353,39
1200,1.2,10,-2,0,0.7,1,24,yes,1782,521,403,35
1200,1.2,10,-2,0,0.7,1,32,yes,1888,495,457,39
